Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2020-01-02,2.7,2.98,2.62,2.89,303482.0,0.0,1.0,2.7,2.98,2.62,2.89,303482.0
2020-01-03,2.87,2.94,2.75,2.78,170837.0,0.0,1.0,2.87,2.94,2.75,2.78,170837.0
2020-01-06,2.73,2.74,2.63,2.7,336728.0,0.0,1.0,2.73,2.74,2.63,2.7,336728.0
2020-01-07,2.69,2.75,2.5125,2.57,203439.0,0.0,1.0,2.69,2.75,2.5125,2.57,203439.0
2020-01-08,2.57,2.6,2.36,2.49,163465.0,0.0,1.0,2.57,2.6,2.36,2.49,163465.0
2020-01-09,2.52,2.67,2.4743,2.57,110025.0,0.0,1.0,2.52,2.67,2.4743,2.57,110025.0
2020-01-10,2.56,2.6,2.4221,2.47,127575.0,0.0,1.0,2.56,2.6,2.4221,2.47,127575.0
2020-01-13,2.47,2.51,2.4,2.43,104348.0,0.0,1.0,2.47,2.51,2.4,2.43,104348.0
2020-01-14,2.44,2.59,2.43,2.56,94451.0,0.0,1.0,2.44,2.59,2.43,2.56,94451.0
2020-01-15,2.56,2.7,2.5545,2.67,169846.0,0.0,1.0,2.56,2.7,2.5545,2.67,169846.0
2020-01-16,2.69,2.87,2.67,2.78,211956.0,0.0,1.0,2.69,2.87,2.67,2.78,211956.0
2020-01-17,2.8,2.82,2.67,2.675,212948.0,0.0,1.0,2.8,2.82,2.67,2.675,212948.0
2020-01-21,2.67,2.7,2.56,2.56,154788.0,0.0,1.0,2.67,2.7,2.56,2.56,154788.0
2020-01-22,2.58,2.63,2.52,2.63,122694.0,0.0,1.0,2.58,2.63,2.52,2.63,122694.0
2020-01-23,2.6,2.72,2.5495,2.59,120647.0,0.0,1.0,2.6,2.72,2.5495,2.59,120647.0
2020-01-24,2.62,2.655,2.32,2.34,239348.0,0.0,1.0,2.62,2.655,2.32,2.34,239348.0
2020-01-27,2.29,2.3,2.0,2.05,325924.0,0.0,1.0,2.29,2.3,2.0,2.05,325924.0
2020-01-28,2.07,2.2699,2.07,2.19,154697.0,0.0,1.0,2.07,2.2699,2.07,2.19,154697.0
2020-01-29,2.23,2.58,2.23,2.51,431637.0,0.0,1.0,2.23,2.58,2.23,2.51,431637.0
2020-01-30,2.51,2.75,2.4,2.67,516013.0,0.0,1.0,2.51,2.75,2.4,2.67,516013.0
2020-01-31,2.82,2.82,2.47,2.55,391374.0,0.0,1.0,2.82,2.82,2.47,2.55,391374.0
2020-02-03,2.57,2.73,2.57,2.64,267732.0,0.0,1.0,2.57,2.73,2.57,2.64,267732.0
2020-02-04,2.67,2.76,2.6,2.62,269648.0,0.0,1.0,2.67,2.76,2.6,2.62,269648.0
2020-02-05,2.62,2.92,2.62,2.82,359083.0,0.0,1.0,2.62,2.92,2.62,2.82,359083.0
2020-02-06,2.87,2.87,2.77,2.82,112575.0,0.0,1.0,2.87,2.87,2.77,2.82,112575.0
2020-02-07,2.82,2.82,2.57,2.598,303980.0,0.0,1.0,2.82,2.82,2.57,2.598,303980.0
2020-02-10,2.59,2.635,2.43,2.49,285712.0,0.0,1.0,2.59,2.635,2.43,2.49,285712.0
2020-02-11,2.48,2.55,2.31,2.47,176875.0,0.0,1.0,2.48,2.55,2.31,2.47,176875.0
2020-02-12,2.71,2.84,2.21,2.34,1185746.0,0.0,1.0,2.71,2.84,2.21,2.34,1185746.0
2020-02-13,2.39,2.49,2.24,2.24,258302.0,0.0,1.0,2.39,2.49,2.24,2.24,258302.0
2020-02-14,2.28,2.31,2.05,2.11,497577.0,0.0,1.0,2.28,2.31,2.05,2.11,497577.0
2020-02-18,2.11,2.31,2.11,2.23,266274.0,0.0,1.0,2.11,2.31,2.11,2.23,266274.0
2020-02-19,2.25,2.26,2.15,2.17,322369.0,0.0,1.0,2.25,2.26,2.15,2.17,322369.0
2020-02-20,2.16,2.32,2.06,2.3,389103.0,0.0,1.0,2.16,2.32,2.06,2.3,389103.0
2020-02-21,2.32,2.38,2.09,2.16,219443.0,0.0,1.0,2.32,2.38,2.09,2.16,219443.0
2020-02-24,2.18,2.2,2.0,2.08,177775.0,0.0,1.0,2.18,2.2,2.0,2.08,177775.0
2020-02-25,2.1,2.3,2.05,2.08,138180.0,0.0,1.0,2.1,2.3,2.05,2.08,138180.0
2020-02-26,2.08,2.22,2.05,2.14,139989.0,0.0,1.0,2.08,2.22,2.05,2.14,139989.0
2020-02-27,2.0,2.08,1.9256,1.99,309014.0,0.0,1.0,2.0,2.08,1.9256,1.99,309014.0
2020-02-28,1.97,2.03,1.75,1.97,197699.0,0.0,1.0,1.97,2.03,1.75,1.97,197699.0
2020-03-02,1.97,2.1,1.92,2.04,152416.0,0.0,1.0,1.97,2.1,1.92,2.04,152416.0
2020-03-03,2.09,2.15,2.0,2.02,117417.0,0.0,1.0,2.09,2.15,2.0,2.02,117417.0
2020-03-04,2.05,2.0822,1.97,2.01,231967.0,0.0,1.0,2.05,2.0822,1.97,2.01,231967.0
2020-03-05,1.96,2.0,1.88,1.93,113098.0,0.0,1.0,1.96,2.0,1.88,1.93,113098.0
2020-03-06,1.88,1.98,1.77,1.77,171751.0,0.0,1.0,1.88,1.98,1.77,1.77,171751.0
2020-03-09,1.62,1.74,1.29,1.39,456447.0,0.0,1.0,1.62,1.74,1.29,1.39,456447.0
2020-03-10,1.49,1.5,1.12,1.33,466010.0,0.0,1.0,1.49,1.5,1.12,1.33,466010.0
2020-03-11,1.33,1.38,1.15,1.26,176502.0,0.0,1.0,1.33,1.38,1.15,1.26,176502.0
2020-03-12,1.06,1.11,0.9176,0.9421,555944.0,0.0,1.0,1.06,1.11,0.9176,0.9421,555944.0
2020-03-13,1.02,1.08,0.9,0.98,274429.0,0.0,1.0,1.02,1.08,0.9,0.98,274429.0
2020-03-16,1.0,1.0,0.525,0.61,480863.0,0.0,1.0,1.0,1.0,0.525,0.61,480863.0
2020-03-17,0.6582,0.6911,0.55,0.5851,458679.0,0.0,1.0,0.6582,0.6911,0.55,0.5851,458679.0
2020-03-18,0.6143,0.6896,0.5986,0.6562,312103.0,0.0,1.0,0.6143,0.6896,0.5986,0.6562,312103.0
2020-03-19,0.66,0.946,0.66,0.946,805318.0,0.0,1.0,0.66,0.946,0.66,0.946,805318.0
2020-03-20,1.48,1.48,0.86,0.9,424146.0,0.0,1.0,1.48,1.48,0.86,0.9,424146.0
2020-03-23,0.93,0.97,0.82,0.905,310224.0,0.0,1.0,0.93,0.97,0.82,0.905,310224.0
2020-03-24,1.01,1.01,0.9,0.9454,135289.0,0.0,1.0,1.01,1.01,0.9,0.9454,135289.0
2020-03-25,0.99,1.02,0.92,0.9671,142111.0,0.0,1.0,0.99,1.02,0.92,0.9671,142111.0
2020-03-26,1.02,1.04,0.95,0.9688,238766.0,0.0,1.0,1.02,1.04,0.95,0.9688,238766.0
2020-03-27,1.01,1.07,0.92,0.99,317821.0,0.0,1.0,1.01,1.07,0.92,0.99,317821.0
2020-03-30,1.05,1.07,0.94,1.0,156766.0,0.0,1.0,1.05,1.07,0.94,1.0,156766.0
2020-03-31,1.04,1.05,0.94,0.9625,80552.0,0.0,1.0,1.04,1.05,0.94,0.9625,80552.0
2020-04-01,0.94,0.94,0.78,0.8,354071.0,0.0,1.0,0.94,0.94,0.78,0.8,354071.0
2020-04-02,0.83,0.9,0.81,0.8699,101204.0,0.0,1.0,0.83,0.9,0.81,0.8699,101204.0
2020-04-03,0.93,1.0,0.93,0.9805,237148.0,0.0,1.0,0.93,1.0,0.93,0.9805,237148.0
2020-04-06,0.9956,1.3,0.95,0.9717,668350.0,0.0,1.0,0.9956,1.3,0.95,0.9717,668350.0
